latitude,longitude,name,comments,rating,cp
19.6299161,-99.1315256,OXXO Villas de San José,38,4.0,01000
19.3516214,-99.1859118,OXXO,9,3.0,01000
19.3987094,-99.1834448,OXXO ESCANDÓN,121,3.9,01000
19.4175138,-99.1649557,Oxxo Obregón Insurgentes,9,2.6,01000
19.3569661,-99.1989753,Oxxo Zamora,12,3.3,01000
19.6505023,-99.1588372,Oxxo Avenida Hidalgo,2,5.0,01000
19.6405196,-99.0832083,Oxxo Valdovinos,554,3.8,01000
19.3416291,-99.2030682,Oxxo,27,4.0,01000
19.6289857,-99.1339721,OXXO Fuentes Del Valle,81,3.7,01000
19.3897429,-99.1746977,Oxxo,13,3.1,01000
19.3609272,-99.1852465,Oxxo,15,3.0,01000
19.4181117,-99.1618428,Oxxo,10,4.3,01000
19.3671076,-99.1920201,Oxxo Ocaranza,27,3.9,01000
19.3659838,-99.1978044,Oxxo Anaya,63,3.8,01000
19.3537529,-99.1899374,OXXO Helenico,4,4.3,01000
19.4062323,-99.165044,Oxxo,113,3.8,01000
19.3886181,-99.1688976,OXXO,7,3.7,01000
19.3647291,-99.1954175,Oxxo Plateros,54,3.5,01000
19.3599485,-99.1831651,Oxxo,15,3.7,01000
19.6374195,-99.1351443,OXXO fauno,149,3.4,01000
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24,2.5,01000
19.3647291,-99.1954175,Oxxo Plateros,54,3.5,01000
19.3653662,-99.2022076,Oxxo Merced Gómez,6,3.3,01000
19.3671076,-99.1920201,Oxxo Ocaranza,27,3.9,01000
19.3626356,-99.1916518,Oxxo Periférico,80,3.9,01000
19.3360845,-99.2007818,Oxxo Rio Magdalena,7,3.4,01000
19.3556489,-99.1742501,Oxxo,9,3.3,01000
19.3715169,-99.1869525,OXXO Sagredo,10,3.0,01000
19.338251,-99.2211707,Oxxo,6,1.7,01000
19.3671843,-99.1813912,Oxxo San Jose,9,2.7,01000
19.3661807,-99.1784482,OXXO Mixcoac Valle,13,2.6,01000
19.3371478,-99.1836077,Oxxo,13,3.8,01000
19.3531644,-99.2163028,Oxxo Águilas del Sur,13,3.7,01000
19.3452386,-99.1674855,OXXO Miguel Angel de Quevedo,16,3.7,01000
19.3429262,-99.2238543,Oxxo Leones de San Agustin,13,4.1,01000
19.3661986,-99.1770963,Oxxo,40,3.1,01000
19.363106,-99.1908927,OXXO,6,3.8,01000
19.3675747,-99.1888702,Oxxo,12,3.8,01000
19.3438425,-99.1592436,Oxxo,16,2.6,01000
19.362687,-99.1807173,Oxxo Camelia,10,3.8,01000
19.3694779,-99.1735051,OXXO,51,3.6,01000
19.3725636,-99.1933092,Oxxo,31,3.9,01000
19.3417161,-99.2310211,Oxxo,17,3.9,01000
19.331966,-99.2091346,Oxxo,22,3.0,01000
19.368344,-99.1794992,Oxxo Jabali,7,3.0,01000
19.3727585,-99.1795477,Oxxo,19,1.8,01000
19.3593067,-99.1707288,Oxxo Valle coyoacan,6,4.5,01000
19.3355709,-99.1697789,OXXO Anacahuita,19,2.4,01000
19.3820241,-99.1845507,Oxxo Berruguete,41,4.2,01000
19.3715152,-99.188492,Oxxo,35,3.2,01000
19.3753798,-99.1866935,Oxxo EXTREMADURA,10,3.5,01000
19.3717093,-99.1707864,Oxxo,23,1.7,01000
19.3723777,-99.2068938,OXXO,120,3.2,01000
19.3751154,-99.1827668,Oxxo Rodin,25,2.0,01000
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6,3.8,01000
19.3766287,-99.1724586,OxxoProvidencia,5,3.2,01000
19.3392245,-99.2325021,Oxxo,8,3.5,01000
19.3545554,-99.163554,OXXO,136,3.7,01000
19.3886181,-99.1688976,OXXO,7,3.7,01000
19.3666472,-99.1676824,Oxxo José María rico,30,3.5,01000
19.3728872,-99.1993382,Oxxo,13,2.7,01000
19.3839291,-99.170621,Oxxo,10,3.6,01000
19.3707886,-99.1667071,Oxxo,16,2.8,01000
19.3367194,-99.2302371,Oxxo,21,2.7,01000
19.3650282,-99.1631638,OxxoRinconada del Valle,8,3.8,01000
19.3678899,-99.1586412,OXXO Xochicalco,12,4.3,01000
19.3893468,-99.1899048,Oxxo,3,4.3,01000
19.378288,-99.185679,Oxxo,12,3.2,01000
19.3351718,-99.1559846,Oxxo,14,3.2,01000
19.3437458,-99.1553073,Oxxo,10,2.6,01000
19.3896804,-99.192571,Oxxo Toltecas,6,2.5,01000
19.351655,-99.185903,Oxxo Vito Alessio,25,4.5,01000
19.3808902,-99.1812507,OXXO,18,3.6,01000
19.4062323,-99.165044,Oxxo,113,3.8,01000
19.3876931,-99.1864853,Oxxo,11,2.8,01000
19.3959887,-99.1855308,Oxxo,27,3.2,01000
19.3752342,-99.2031624,Oxxo Calle 18,14,4.1,01000
19.3714849,-99.2131032,Oxxo Uruchurtu,9,4.1,01000
19.3685388,-99.1671925,Oxxo Parroquia,13,3.7,01000
19.3158909,-99.2227646,Oxxo,147,3.8,01000
19.3909247,-99.1915917,Oxxo,13,3.3,01000
19.3195115,-99.1681451,Oxxo Zihuatlan,106,3.5,01000
19.4175138,-99.1649557,Oxxo Obregón Insurgentes,9,2.6,01000
19.4142285,-99.0928378,Oxxo Suc. 50fnv-morazan Mex,1,4.0,01000
19.4068315,-99.1726587,Oxxo,39,4.0,01000
19.352998,-99.2455369,Oxxo,45,2.6,01000
19.3243838,-99.2262367,Oxxo,261,4.0,01000
19.2961362,-99.1343228,OXXO Acoxpa,8,3.1,01000
19.3207698,-99.2321075,Oxxo,62,3.7,01000
19.3977994,-99.1853018,OXXO CONQUISTA,5,2.0,01000
19.368892,-99.2228938,Oxxo Colinas del Sur,42,3.8,01000
19.3664799,-99.2320336,Oxxo Santa Lucia,9,2.7,01000
19.3923271,-99.1497613,Oxxo,16,3.6,01000
19.3122662,-99.2440542,Oxxo,28,3.5,01000
19.4085876,-99.1976772,OXXO,16,3.6,01000
19.315956,-99.2416241,Oxxo,8,3.5,01000
19.4451867,-99.1585671,OXXO,4,4.0,01000
19.4370794,-99.1494749,Oxxo,5,3.4,01000
19.4363607,-99.152854,Oxxo,5,2.6,01000
19.4316655,-99.1619073,Oxxo Marne,12,2.1,01000
19.4588081,-99.2041077,Oxxo Argentina,11,2.2,01000
19.3669681,-99.263668,Oxxo González Camarena,20,3.8,01000
19.5036348,-99.1567509,OXXO,9,3.3,01000
19.4806111,-99.1235355,Oxxo,10,2.9,01000
19.4739098,-99.1335517,Oxxo Basiliso,37,3.9,01000
19.4716712,-99.1312489,Oxxo Real del Monte,25,3.7,01000
19.4889404,-99.1243577,Oxxo Arequipa,17,3.5,01000
19.3727704,-99.07045,Oxxo Guerra de Reforma,36,3.9,01000
19.4480133,-99.151598,Oxxo,8,1.5,01000
19.4260216,-99.1310327,Oxxo,13,2.8,01000
19.4299437,-99.1424172,OXXO López,10,2.1,01000
19.4707981,-99.1209487,oxxo Plaza Tepeyac,8,3.6,01000
19.493431,-99.1456469,OXXO Atepehuacan,7,4.4,01000
19.4060727,-99.168847,OXXO,37,3.5,01000
19.4236611,-99.2035741,Oxxo Pedregal,366,3.9,01000
19.5235551,-99.1470546,OXXO CORDILLERA,12,2.5,01000
19.4790624,-99.1269459,OXXO Fundidora,82,3.7,01000
19.5102837,-99.1406494,Oxxo LA ESCALERA,14,2.9,01000
19.4734477,-99.1483157,OXXO,20,3.1,01000
19.4815565,-99.1824397,Oxxo San Sebastián,14,3.4,01000
19.3626356,-99.1916518,Oxxo Periférico,80,3.9,01010
19.363106,-99.1908927,OXXO,6,3.8,01010
19.3569661,-99.1989753,Oxxo Zamora,12,3.3,01010
19.3625408,-99.1963994,OXXO,11,2.8,01010
19.3581501,-99.1901391,OXXO Campestre revolución,9,3.9,01010
19.3659838,-99.1978044,Oxxo Anaya,63,3.8,01010
19.3671076,-99.1920201,Oxxo Ocaranza,27,3.9,01010
19.3647291,-99.1954175,Oxxo Plateros,54,3.5,01010
19.3537529,-99.1899374,OXXO Helenico,4,4.3,01010
19.3653662,-99.2022076,Oxxo Merced Gómez,6,3.3,01010
19.3580665,-99.1844114,Oxxo Villa nueva,5,1.8,01010
19.3609272,-99.1852465,Oxxo,15,3.0,01010
19.3483164,-99.1855199,Oxxo La Paz,13,3.5,01010
19.3583535,-99.2061085,Oxxo albulferas mex,11,3.0,01010
19.3516214,-99.1859118,OXXO,9,3.0,01010
19.3514102,-99.178246,OXXO,10,3.2,01010
19.3671843,-99.1813912,Oxxo San Jose,9,2.7,01010
19.3675747,-99.1888702,Oxxo,12,3.8,01010
19.362687,-99.1807173,Oxxo Camelia,10,3.8,01010
19.3416291,-99.2030682,Oxxo,27,4.0,01010
19.3723777,-99.2068938,OXXO,120,3.2,01010
19.3694779,-99.1735051,OXXO,51,3.6,01010
19.3728872,-99.1993382,Oxxo,13,2.7,01010
19.3688312,-99.1807399,OXXO Plaza manacar,7,2.7,01010
19.3857135,-99.1863205,OXXO,9,2.1,01010
19.368344,-99.1794992,Oxxo Jabali,7,3.0,01010
19.3411312,-99.2086388,Oxxo,54,3.7,01010
19.341728,-99.1814947,Oxxo,32,3.1,01010
19.3715169,-99.1869525,OXXO Sagredo,10,3.0,01010
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24,2.5,01010
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6,3.8,01010
19.3902867,-99.2022648,OXXO,34,3.2,01010
19.3715152,-99.188492,Oxxo,35,3.2,01010
19.3808902,-99.1812507,OXXO,18,3.6,01010
19.3896804,-99.192571,Oxxo Toltecas,6,2.5,01010
19.3826198,-99.1766656,OXXO,85,3.6,01010
19.3852164,-99.1797796,Oxxo,33,3.7,01010
19.3486558,-99.2018531,OXXO ATLAMAYA,13,3.0,01010
19.3456998,-99.1746496,Oxxo,67,4.1,01010
19.3390457,-99.192184,Oxxo Altamirano Valle,4,2.0,01010
19.3359656,-99.1804397,Oxxo odontología,44,3.7,01010
19.3725636,-99.1933092,Oxxo,31,3.9,01010
19.3429262,-99.2238543,Oxxo Leones de San Agustin,13,4.1,01010
19.3727585,-99.1795477,Oxxo,19,1.8,01010
19.3364722,-99.1929639,Oxxo Revolucion CU,32,3.4,01010
19.3664281,-99.2105281,Oxxo Lomas Centenario,17,2.9,01010
19.3400074,-99.1996131,OXXO,14,3.4,01010
19.3394322,-99.2038138,Oxxo Cerrada Durango,37,3.8,01010
19.3531644,-99.2163028,Oxxo Águilas del Sur,13,3.7,01010
19.3452386,-99.1674855,OXXO Miguel Angel de Quevedo,16,3.7,01010
19.3786214,-99.1740573,Oxxo,16,1.8,01010
19.3977065,-99.2173641,OXXO,37,4.0,01010
19.3839291,-99.170621,Oxxo,10,3.6,01010
19.3355709,-99.1697789,OXXO Anacahuita,19,2.4,01010
19.3393228,-99.1902434,Oxxo,26,3.1,01010
19.3593067,-99.1707288,Oxxo Valle coyoacan,6,4.5,01010
19.3751154,-99.1827668,Oxxo Rodin,25,2.0,01010
19.3545554,-99.163554,OXXO,136,3.7,01010
19.3556489,-99.1742501,Oxxo,9,3.3,01010
19.3884722,-99.1954167,OXXO,25,3.6,01010
19.3438425,-99.1592436,Oxxo,16,2.6,01010
19.3650282,-99.1631638,OxxoRinconada del Valle,8,3.8,01010
19.3661986,-99.1770963,Oxxo,40,3.1,01010
19.338251,-99.2211707,Oxxo,6,1.7,01010
19.3371478,-99.1836077,Oxxo,13,3.8,01010
19.3774302,-99.2208368,Oxxo La Cañada,20,3.4,01010
19.3383994,-99.1950067,Oxxo,12,3.1,01010
19.3909247,-99.1915917,Oxxo,13,3.3,01010
19.3395333,-99.2050655,Oxxo Queretaro,21,4.4,01010
19.3417161,-99.2310211,Oxxo,17,3.9,01010
19.3886181,-99.1688976,OXXO,7,3.7,01010
19.3766287,-99.1724586,OxxoProvidencia,5,3.2,01010
19.378288,-99.185679,Oxxo,12,3.2,01010
19.3933882,-99.1670393,Oxxo,22,3.4,01010
19.3893468,-99.1899048,Oxxo,3,4.3,01010
19.3717093,-99.1707864,Oxxo,23,1.7,01010
19.3360845,-99.2007818,Oxxo Rio Magdalena,7,3.4,01010
19.3912852,-99.1852791,Oxxo,22,2.1,01010
19.3678899,-99.1586412,OXXO Xochicalco,12,4.3,01010
19.3948155,-99.1663484,Oxxo,10,2.7,01010
19.3488007,-99.133829,Oxxo,45,4.0,01010
19.3707886,-99.1667071,Oxxo,16,2.8,01010
19.3685388,-99.1671925,Oxxo Parroquia,13,3.7,01010
19.3666472,-99.1676824,Oxxo José María rico,30,3.5,01010
19.3876931,-99.1864853,Oxxo,11,2.8,01010
19.4026863,-99.1979391,OXXO,12,3.1,01010
19.3830691,-99.1667407,Oxxo,10,2.9,01010
19.3367194,-99.2302371,Oxxo,21,2.7,01010
19.3580665,-99.1844114,Oxxo Villa nueva,5,1.8,01020
19.3537529,-99.1899374,OXXO Helenico,4,4.3,01020
19.3609272,-99.1852465,Oxxo,15,3.0,01020
19.3581501,-99.1901391,OXXO Campestre revolución,9,3.9,01020
19.3519153,-99.1869152,Oxxo Villalpando,1,1.0,01020
19.3599485,-99.1831651,Oxxo,15,3.7,01020
19.3675747,-99.1888702,Oxxo,12,3.8,01020
19.3599485,-99.1831651,Oxxo,15,3.7,01030
19.3516214,-99.1859118,OXXO,9,3.0,01030
19.3556489,-99.1742501,Oxxo,9,3.3,01030
19.362687,-99.1807173,Oxxo Camelia,10,3.8,01030
19.3514102,-99.178246,OXXO,10,3.2,01030
19.3661807,-99.1784482,OXXO Mixcoac Valle,13,2.6,01030
19.3580665,-99.1844114,Oxxo Villa nueva,5,1.8,01030
19.3559455,-99.1740693,Oxxo Cinco De Mayo,3,4.0,01030
19.3539306,-99.175675,Oxxo Parque Viveros,1,4.0,01030
19.3593067,-99.1707288,Oxxo Valle coyoacan,6,4.5,01030
19.3661986,-99.1770963,Oxxo,40,3.1,01030
19.3483164,-99.1855199,Oxxo La Paz,13,3.5,01030
19.3609272,-99.1852465,Oxxo,15,3.0,01030
19.368344,-99.1794992,Oxxo Jabali,7,3.0,01030
19.3537529,-99.1899374,OXXO Helenico,4,4.3,01030
19.3694779,-99.1735051,OXXO,51,3.6,01030
19.3581501,-99.1901391,OXXO Campestre revolución,9,3.9,01030
19.3688312,-99.1807399,OXXO Plaza manacar,7,2.7,01030
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6,3.8,01030
19.341728,-99.1814947,Oxxo,32,3.1,01030
19.3666472,-99.1676824,Oxxo José María rico,30,3.5,01030
19.3671843,-99.1813912,Oxxo San Jose,9,2.7,01030
19.3655803,-99.1886634,OXXO Mercaderes,5,3.8,01030
19.3626356,-99.1916518,Oxxo Periférico,80,3.9,01030
19.3659838,-99.1978044,Oxxo Anaya,63,3.8,01030
19.3753798,-99.1866935,Oxxo EXTREMADURA,10,3.5,01030
19.3675747,-99.1888702,Oxxo,12,3.8,01030
19.3671076,-99.1920201,Oxxo Ocaranza,27,3.9,01030
19.3569661,-99.1989753,Oxxo Zamora,12,3.3,01030
19.3715152,-99.188492,Oxxo,35,3.2,01030
19.3456998,-99.1746496,Oxxo,67,4.1,01030
19.3393228,-99.1902434,Oxxo,26,3.1,01030
19.3727585,-99.1795477,Oxxo,19,1.8,01030
19.3751154,-99.1827668,Oxxo Rodin,25,2.0,01030
19.3394322,-99.2038138,Oxxo Cerrada Durango,37,3.8,01030
19.3771886,-99.1746789,Oxxo Mercado Tlacoquemecatl,16,3.6,01030
19.3685388,-99.1671925,Oxxo Parroquia,13,3.7,01030
19.3650282,-99.1631638,OxxoRinconada del Valle,8,3.8,01030
19.3455093,-99.1879747,Oxxo Chimalistac,18,4.1,01030
19.3400074,-99.1996131,OXXO,14,3.4,01030
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24,2.5,01030
19.363106,-99.1908927,OXXO,6,3.8,01030
19.3364722,-99.1929639,Oxxo Revolucion CU,32,3.4,01030
19.3722381,-99.1732601,Oxxo,,,01030
19.3707886,-99.1667071,Oxxo,16,2.8,01030
19.3625408,-99.1963994,OXXO,11,2.8,01030
19.3857135,-99.1863205,OXXO,9,2.1,01030
19.3731812,-99.1868945,Oxxo Goya,1,5.0,01030
19.3462317,-99.1756656,Oxxo Maq,171,4.0,01030
19.3808902,-99.1812507,OXXO,18,3.6,01030
19.378288,-99.185679,Oxxo,12,3.2,01030
19.3717093,-99.1707864,Oxxo,23,1.7,01030
19.3660329,-99.1557199,Oxxo Norte,12,3.9,01030
19.3545554,-99.163554,OXXO,136,3.7,01030
19.3371478,-99.1836077,Oxxo,13,3.8,01030
19.3383994,-99.1950067,Oxxo,12,3.1,01030
19.3826198,-99.1766656,OXXO,85,3.6,01030
19.3766287,-99.1724586,OxxoProvidencia,5,3.2,01030
19.3715169,-99.1869525,OXXO Sagredo,10,3.0,01030
19.3390457,-99.192184,Oxxo Altamirano Valle,4,2.0,01030
19.3647291,-99.1954175,Oxxo Plateros,54,3.5,01030
19.3786214,-99.1740573,Oxxo,16,1.8,01030
19.3653662,-99.2022076,Oxxo Merced Gómez,6,3.3,01030
19.3437141,-99.1897263,Oxxo Plaza del Carmen,,,01030
19.381005,-99.1737581,Oxxo,17,2.6,01030
19.3634603,-99.1460205,OXXO del bosque,71,3.4,01030
19.3971948,-99.171045,Oxxo,4,3.8,01030
19.3909247,-99.1915917,Oxxo,13,3.3,01030
19.3583535,-99.2061085,Oxxo albulferas mex,11,3.0,01030
